FanGraph ID,Player,CBLCard,CBLPos,CBL5Percent
5297,"Hicks, Aaron",LAA,RF,59
27493,"Hinds, Rece",CIN,RF,48
13768,"Jankowski, Travis",TEA,RF/LF,199
20002,"Johnson, Bryce",SDN,RF,66
20311,"Julks, Corey",CHA,RF/LF,181
26467,"Matos, Luis",SFN,RF/CF,157
22054,"Myers, Dane",MMN,RF/CF,99
19698,"Olivares, Edward",PIN,RF,182
19818,"Palacios, Josh",PIN,RF,70
16153,"Slater, Austin",BAA,RF/LF,185
17766,"Stewart, DJ",NYN,RF,165
