FanGraph ID,Player,CBLCard,CBLPos,CBL5Percent,,
18297,"Kinley, Tyler",CON,RP,67    ,,
21487,"Kolek, Stephen",SDN,RP,49    ,,
19883,"Lange, Alex",DEA,RP,19 1/3,,
21306,"Latz, Jacob",TEA,RP,45 2/3,,
17639,"Lawrence, Justin",CON,RP,62 1/3,,
24763,"Leahy, Kyle",SLN,RP,51    ,,
29950,"Leasure, Jordan",CHA,RP,32 2/3,,
15551,"Leiter, Mark",NYA,RP,60 2/3,,
13763,"Leone, Dominic",CHA,RP,19 2/3,,
28036,"Little, Luke",CHN,RP/SP,27    ,,
14527,"Lopez, Jorge",CHN,RP,55 1/3,,
19337,"Lovelady, Richard",TBA,RP,36    ,,
30140,"Madden, Ty",DEA,RP/SP,24    ,,
26034,"Maldonado, Anthony",MMN,RP/SP,19 2/3,,
23488,"Marinaccio, Ron",NYA,RP,24 1/3,,
21761,"Marte, Jose",LAA,RP,20    ,,
14416,"Marte, Yunior",PHN,RP,27    ,,
21045,"Martinez, Seth",HOA,RP,55    ,,
15042,"Mayza, Tim",NYA,RP,44 2/3,,
21527,"McArthur, James",KCA,RP,59 1/3,,
12056,"McGough, Scott",ARN,RP/SP,34    ,,
25376,"Mears, Nick",MLN,RP,60 1/3,,
13346,"Milner, Hoby",MLN,RP/SP,67 2/3,,
26952,"Molina, Anthony",CON,RP/SP,62 1/3,,
14874,"Moll, Sam",CIN,RP,39 1/3,,
12760,"Montero, Rafael",HOA,RP,40    ,,
1890,"Moore, Matt",LAA,RP,50 2/3,,
19178,"Nance, Tommy",TOA,RP,23    ,,
11804,"Neris, Hector",HOA,RP,62    ,,
27775,"Nicolas, Kyle",PIN,RP,57 1/3,,
13580,"Okert, Steven",MNA,RP/SP,37    ,,
20061,"Ort, Kaleb",HOA,RP,25 2/3,,
22533,"Otanez, Michel",OAA,RP,35 2/3,,
1247,"Ottavino, Adam",NYN,RP,58 2/3,,
14771,"Pagan, Emilio",CIN,RP/SP,39 2/3,,
20447,"Paredes, Enoli",CHN,RP,22 2/3,,
20160,"Pearson, Nate",CHN,RP/SP,69 1/3,,
21652,"Peguero, Elvis",MLN,RP,53 2/3,,
14295,"Peralta, Wandy",SDN,RP,40    ,,
19614,"Perez, Cionel",BAA,RP,56 1/3,,
20827,"Petersen, Michael",MMN,RP,20 1/3,,
19403,"Poche, Colin",TBA,RP,39    ,,
